Stock name,Start date,End date,Price at end,Label
INDIAMART,2024-01-18,2024-04-26,2487.92,Good VCP
INDIAMART,2025-04-07,2025-06-03,2248.33,Good VCP
INDIGOPNTS,2024-03-28,2024-05-17,1360.22,Bad VCP
INDIQUBE,2026-03-27,2026-06-04,161.69,Good VCP
INDNIPPON,2025-03-17,2025-05-14,605.47,Good VCP
INNOVACAP,2025-03-03,2025-05-05,906.37,Bad VCP
INOXWIND,2025-01-28,2025-04-23,174.55,Good VCP
INTELLECT,2022-05-13,2022-07-20,667.12,Bad VCP
IREDA,2025-08-29,2025-11-12,150.13,Bad VCP
ITI,2026-03-30,2026-06-16,303.15,Good VCP
IZMO,2025-03-04,2025-04-03,283.55,Good VCP
JAGSNPHARM,2025-04-07,2025-07-03,223.74,Good VCP
JAIBALAJI,2024-07-22,2024-08-22,187.01,Good VCP
JAICORPLTD,2025-05-09,2025-07-17,106.59,Bad VCP
JBMA,2022-09-28,2022-12-05,212.84,Good VCP
JGCHEM,2025-01-28,2025-04-03,338.51,Bad VCP
JINDALPOLY,2022-05-26,2022-07-12,978.82,Good VCP
JKCEMENT,2026-03-23,2026-05-22,5536.89,Bad VCP
JSWDULUX,2025-03-03,2025-05-14,3285.96,Bad VCP
JSWENERGY,2023-02-27,2023-04-19,243.49,Good VCP
JUBLCPL,2026-03-30,2026-06-22,1882.0,Good VCP
JUSTDIAL,2025-02-18,2025-03-24,879.25,Bad VCP
JUSTDIAL,2025-04-07,2025-06-11,921.3,Bad VCP
KAJARIACER,2022-03-09,2022-04-19,997.64,Bad VCP
KAYNES,2026-05-20,2026-07-06,3359.2,Good VCP
KCP,2022-05-12,2022-07-22,107.47,Bad VCP
KECL,2025-02-28,2025-04-03,135.45,Bad VCP
KENNAMET,2026-04-24,2026-06-16,3032.8,Bad VCP
KHAITANLTD,2026-01-12,2026-04-08,104.82,Good VCP
KINGFA,2025-02-17,2025-03-19,2816.0,Good VCP
KIRIINDUS,2023-10-10,2023-11-22,275.05,Good VCP
KIRLPNU,2025-02-28,2025-06-05,661.13,Good VCP
KNRCON,2025-04-07,2025-06-25,230.39,Bad VCP
KOLTEPATIL,2022-12-26,2023-03-03,276.31,Bad VCP
KOLTEPATIL,2024-03-14,2024-05-03,536.72,Bad VCP
KOLTEPATIL,2025-03-03,2025-05-13,344.25,Good VCP
KPIGREEN,2025-01-29,2025-04-23,432.31,Bad VCP
KPIL,2026-01-21,2026-02-20,1126.58,Good VCP
KRONOX,2026-03-30,2026-05-27,143.12,Good VCP
LAMBODHARA,2025-08-29,2025-11-19,138.08,Bad VCP
LAOPALA,2025-02-18,2025-03-19,202.87,Good VCP
LOVABLE,2022-06-20,2022-08-01,130.99,Good VCP
LTM,2022-05-26,2022-07-08,3851.3,Good VCP
LUXIND,2025-03-13,2025-05-14,1453.68,Good VCP
LXCHEM,2023-03-29,2023-07-05,259.94,Bad VCP
MAHLIFE,2026-03-30,2026-05-26,338.09,Bad VCP
MAHSEAMLES,2022-12-26,2023-03-08,302.85,Good VCP
MANAKCOAT,2026-03-30,2026-06-04,105.82,Good VCP
MANCREDIT,2026-01-21,2026-04-29,173.88,Good VCP
MANOMAY,2025-03-03,2025-05-12,175.38,Bad VCP
MANORG,2023-03-27,2023-05-18,477.2,Bad VCP
MANORG,2023-10-27,2024-01-01,383.45,Good VCP
MANORG,2025-02-18,2025-03-20,419.65,Bad VCP
MANYAVAR,2025-05-09,2025-07-17,801.55,Bad VCP
MAPMYINDIA,2024-12-04,2025-01-31,1693.11,Bad VCP
MARICO,2024-11-18,2025-01-01,631.39,Bad VCP
MASTEK,2024-06-04,2024-07-01,2733.85,Bad VCP
MASTEK,2026-03-30,2026-07-13,1735.08,Good VCP
MEDPLUS,2024-02-14,2024-05-13,698.5,Good VCP
MENONBE,2025-12-18,2026-03-10,119.02,Good VCP
MHLXMIRU,2023-07-20,2023-09-29,172.45,Good VCP
MINDACORP,2026-03-12,2026-05-21,536.25,Good VCP
MOLDTKPAC,2024-06-04,2024-07-30,806.6,Bad VCP
MRPL,2025-03-03,2025-05-20,136.71,Good VCP
MUTHOOTCAP,2025-10-21,2025-12-22,273.4,Bad VCP
MUTHOOTFIN,2026-06-11,2026-07-31,3119.6,Bad VCP
NACLIND,2025-12-09,2026-01-02,167.94,Good VCP
NAHARSPING,2022-06-23,2022-08-17,312.82,Good VCP
NAHARSPING,2025-03-04,2025-04-01,210.16,Good VCP
NATCOPHARM,2022-02-24,2022-04-28,771.67,Bad VCP
NATHBIOGEN,2022-11-24,2023-01-24,156.93,Bad VCP
NATHBIOGEN,2026-03-30,2026-06-25,168.4,Bad VCP
NAUKRI,2022-05-26,2022-07-07,769.46,Good VCP
NAVINFLUOR,2023-01-27,2023-04-10,4221.91,Good VCP
NCLIND,2026-03-30,2026-05-08,178.09,Good VCP
NELCAST,2026-01-30,2026-04-06,122.63,Good VCP
NELCO,2025-03-03,2025-05-15,890.06,Good VCP
NETWEB,2025-02-18,2025-03-20,1512.67,Good VCP
NOCIL,2025-03-03,2025-04-03,179.76,Bad VCP
NPST,2025-03-12,2025-04-29,2323.89,Bad VCP
OBEROIRLTY,2026-03-23,2026-06-23,1702.56,Good VCP
OLECTRA,2023-02-23,2023-04-03,648.33,Good VCP
ONGC,2025-04-07,2025-06-11,233.63,Bad VCP
ORISSAMINE,2025-04-07,2025-06-11,5268.0,Bad VCP
PALASHSECU,2025-03-04,2025-05-16,123.12,Good VCP
PAYTM,2024-02-16,2024-04-05,417.55,Bad VCP
PGIL,2023-02-03,2023-04-24,209.7,Good VCP
PIGL,2025-03-21,2025-05-19,160.75,Good VCP
PITTIENG,2022-11-04,2023-01-16,318.34,Bad VCP
PODDARMENT,2025-09-03,2025-11-06,282.15,Bad VCP
POKARNA,2025-10-16,2025-11-27,933.72,Bad VCP
POLYMED,2022-05-26,2022-07-18,757.65,Bad VCP
PONNIERODE,2025-03-11,2025-05-26,328.63,Good VCP
POONAWALLA,2024-10-28,2024-12-11,364.35,Bad VCP
POWERINDIA,2025-01-28,2025-04-22,13794.71,Good VCP
PRECAM,2022-12-22,2023-02-20,100.33,Bad VCP
PRINCEPIPE,2022-11-10,2023-01-19,586.34,Good VCP
PRIVISCL,2023-02-08,2023-05-08,1112.69,Bad VCP
PRIVISCL,2023-08-14,2023-11-02,1211.88,Good VCP
PSPPROJECT,2024-03-14,2024-06-03,671.3,Bad VCP
PVRINOX,2025-04-07,2025-05-29,1000.65,Good VCP
RACE,2025-04-07,2025-05-29,269.25,Bad VCP
